,maker,specific_origin,ref,review_date,cocoa_percent,company_location,rating,bean_type,broad_origin
1064,marsatta,dominican republic,1189,2013,89.0,u.s.a.,2.5,unknown,dominican
1306,pomm (aka dead dog),peru,829,2012,82.0,u.s.a.,2.75,criollo,peru
446,confluence,"tien giang, 2015, batch 10-2-16",1916,2016,78.0,u.s.a.,2.75,trinitario,vietnam
1658,theo,"venezuela; barinos, merida, tachron",188,2007,91.0,u.s.a.,2.0,blend,venezuela
1147,momotombo,mombacho,661,2011,70.0,nicaragua,2.75,unknown,nicaragua
1519,soma,"camino verde p., balao, guayas",1307,2014,80.0,canada,3.5,forastero (nacional),ecuador
1367,republica del cacao (aka confecta),esmeraldas,494,2010,75.0,ecuador,3.25,unknown,ecuador
1735,wilkie's organic,amazonas,1169,2013,75.0,ireland,2.5,criollo,peru
1532,soma,"bachelor's hall e., st. thomas parish",1177,2013,70.0,canada,4.0,trinitario,jamaica
1054,marou,dong nai,845,2012,72.0,vietnam,3.5,trinitario,vietnam
1461,silvio bessone,"bahia, scavina",729,2011,60.0,italy,3.25,trinitario,brazil
478,damson,robson estate,1610,2015,70.0,u.k.,3.0,trinitario,trinidad
1638,tejas,capistrano*,829,2012,70.0,u.s.a.,3.0,unknown,madagascar
69,ambrosia,belize,1494,2015,64.0,canada,3.0,trinitario,belize
1150,monsieur truffe,papaua new guinea,1391,2014,70.0,australia,3.25,unknown,papua new guinea
1203,ocelot,piura,1558,2015,75.0,scotland,4.0,criollo,peru
793,heirloom cacao preservation (guittard),"los rios, hacienda limon, orecao, 2014",1243,2014,67.0,u.s.a.,3.75,eet,ecuador
1024,manoa,"liberia, #174",1003,2012,72.0,u.s.a.,3.25,unknown,liberia
248,bouga cacao (tulicorp),"el oro, hacienda de oro",316,2009,77.0,ecuador,3.25,forastero (arriba),ecuador
729,georgia ramon,abocfa coop,1642,2015,70.0,germany,4.0,forastero,ghana
484,dandelion,maya mountain,1219,2014,70.0,u.s.a.,3.5,trinitario,belize
1137,mission,"fazenda camboa, bahia",1880,2016,75.0,brazil,3.75,unknown,brazil
1553,soma,ocumare,387,2009,70.0,canada,3.75,criollo,venezuela
79,amedei,ecuador,123,2007,70.0,italy,3.0,trinitario,ecuador
1288,pierre marcolini,cabosse,111,2007,70.0,belgium,4.0,blend,venezuela
47,altus aka cao artisan,villa andina,1732,2016,60.0,u.s.a.,2.5,unknown,peru
1133,millcreek cacao roasters,ecuador,825,2012,70.0,u.s.a.,3.5,unknown,ecuador
1337,pralus,"caracas, venezuela and ghana",99,2006,75.0,france,3.0,"trinitario, forastero",venezuela
362,castronovo,arauca,1371,2014,76.0,u.s.a.,3.5,"criollo, trinitario",colombia
1307,potomac,"oko caribe, duarte province, 2016 h.",1820,2016,70.0,u.s.a.,3.75,unknown,dominican
846,hotel chocolat (coppeneur),tanzania,296,2008,75.0,u.k.,2.75,unknown,tanzania
97,ara,equateur,1379,2014,75.0,france,2.75,unknown,ecuador
901,kiskadee,"la red, guanconjeco",1251,2014,60.0,u.s.a.,3.0,trinitario,dominican
1323,pralus,"monte alegre (itacare), brazil",105,2006,75.0,france,3.0,forastero,brazil
1788,zotter,"kongo, highlands",883,2012,68.0,austria,3.25,forastero,congo
1197,nuance,la red,1470,2015,70.0,u.s.a.,3.75,unknown,dominican
1725,violet sky,moho river valley,1458,2015,77.0,u.s.a.,3.0,"criollo, trinitario",belize
585,duffy's,"indio rojo, xoco",623,2011,72.0,u.k.,3.75,criollo,honduras
235,bonnat,ivory coast,331,2009,75.0,france,3.0,unknown,ivory coast
536,dick taylor,tien giang,1864,2016,78.0,u.s.a.,3.5,trinitario,vietnam
1126,middlebury,"matagalpa, cacao bisiesto",1538,2015,70.0,u.s.a.,3.5,unknown,nicaragua
281,cacao atlanta,"dominican republic, ""love bar""",502,2010,75.0,u.s.a.,2.5,unknown,dominican
241,bonnat,trinite,24,2006,75.0,france,3.75,trinitario,carribean
196,bittersweet origins,"bali, singaraja",478,2010,75.0,u.s.a.,3.25,unknown,indonesia
690,fresco,"markham valley, #220, mr, mc",927,2012,69.0,u.s.a.,4.0,trinitario,papua new guinea
1685,valrhona,"otucan, grand cru",931,2012,69.0,france,4.0,unknown,venezuela
1098,meadowlands,"nicaragua, w/ inbs",1291,2014,70.0,u.s.a.,3.0,unknown,nicaragua
1646,terroir,madagascar,1478,2015,70.0,u.s.a.,3.75,trinitario,madagascar
332,c-amaro,sao tome,749,2011,78.0,italy,2.25,forastero,sao tome
498,danta,los ujuxtes,1223,2014,82.0,guatemala,3.25,unknown,guatemala
1471,sirene,"somia plantation, 2012",1339,2014,67.0,canada,3.75,trinitario,madagascar
314,cacao sampaka,venezuela,537,2010,77.0,spain,3.5,unknown,venezuela
408,"chocolate tree, the",ecuador,919,2012,82.0,scotland,2.5,forastero (arriba),ecuador
1212,oialla by bojessen (malmo),"sylvestre, oialla",761,2011,70.0,germany,3.5,criollo,bolivia
717,friis holm (bonnat),"nicaliso, xoco",623,2011,70.0,denmark,3.5,"criollo, trinitario",nicaragua
1684,valrhona,"loma sotavento, 2013",1153,2013,64.0,france,3.5,unknown,dominican
1577,starchild,cacao verapaz,1692,2015,70.0,u.s.a.,3.0,unknown,guatemala
1540,soma,papua new guinea,983,2012,85.0,canada,3.5,trinitario,papua new guinea
1738,wilkie's organic,amazonas w/ nibs,1173,2013,75.0,ireland,2.75,criollo,peru
1416,sacred,twilight,813,2012,69.0,u.s.a.,3.25,unknown,central and s. america
1435,scharffen berger,las islas,117,2007,72.0,u.s.a.,3.0,blend,carribean(dr/jam/tri)
1184,night owl,ecuador,1022,2013,75.0,u.s.a.,3.5,unknown,ecuador
406,"chocolate tree, the",carenero superior,1582,2015,80.0,scotland,3.75,trinitario,venezuela
345,captain pembleton,"saidor estate, madang p.",1263,2014,70.0,new zealand,3.5,trinitario,papua new guinea
898,kaoka (cemoi),ecuador,423,2009,80.0,france,2.75,unknown,ecuador
649,felchlin,"alto beni, cru savage",56,2006,68.0,switzerland,4.0,criollo (wild),bolivia
1113,michel cluizel,vila gracinda,135,2007,67.0,france,3.5,forastero,sao tome
247,bonnat,chuao,81,2006,75.0,france,4.0,trinitario,venezuela
1402,rogue,trinidad,213,2008,70.0,u.s.a.,3.0,trinitario,trinidad
1236,original hawaiin chocolate factory,"hawai'i, kona grand cru e.",316,2009,60.0,u.s.a.,3.0,criollo,hawaii
1767,zart pralinen,"millot p., ambanja",1820,2016,70.0,austria,3.5,"criollo, trinitario",madagascar
1535,soma,"dual origins, sambirano, elvesia",867,2012,70.0,canada,4.0,blend,dominican
712,friis holm (bonnat),"red mayan, xoco",899,2012,70.0,denmark,3.25,"criollo, trinitario",honduras
1433,scharffen berger,ben tre,445,2009,72.0,u.s.a.,3.75,trinitario,vietnam
428,choklat,ocumare,377,2009,70.0,canada,3.0,criollo,venezuela
1389,rogue,"tranquilidad, batch 1",1566,2015,75.0,u.s.a.,3.25,unknown,bolivia
1475,sjolinds,nicaragua,1462,2015,72.0,u.s.a.,3.0,unknown,nicaragua
540,dick taylor,camino verde,1193,2013,76.0,u.s.a.,3.5,unknown,ecuador
1265,park 75,south america,1363,2014,65.0,u.s.a.,3.5,unknown,south america
133,artisan du chocolat,madagascar,363,2009,80.0,u.k.,3.0,"criollo, trinitario",madagascar
159,batch,ecuador,1880,2016,65.0,u.s.a.,3.25,unknown,ecuador
166,belcolade,costa rica,586,2010,64.0,belgium,2.75,unknown,costa rica
539,dick taylor,"ecuador, choc. garage exclusive",1034,2013,70.0,u.s.a.,3.25,unknown,ecuador
1355,quetzalli (wolter),"uranga, lot 22032016",1800,2016,74.0,mexico,3.0,trinitario,mexico
1225,organicfair,maya mountain,1161,2013,74.0,canada,2.75,trinitario,belize
450,coppeneur,uba budo,821,2012,72.0,germany,3.75,forastero,sao tome & principe
1480,"smooth chocolator, the",tien giang,1864,2016,70.0,australia,3.0,trinitario,vietnam
913,kyya,uganda,1359,2014,72.5,u.s.a.,2.5,forastero,uganda
1483,"smooth chocolator, the",akesson's estate,1618,2015,65.0,australia,3.25,trinitario,madagascar
965,letterpress,kokoa kamili,1566,2015,70.0,u.s.a.,3.5,unknown,tanzania
169,belcolade,ecuador,586,2010,71.0,belgium,3.5,unknown,ecuador
578,dormouse,"rio caribe, batch 7",1672,2015,70.0,u.k.,2.5,trinitario,venezuela
384,choco del sol,maya mountain,1407,2014,82.0,germany,3.25,trinitario,belize
240,bonnat,equateur,123,2007,75.0,france,2.5,forastero (arriba),ecuador
1028,manufaktura czekolady,johe,1844,2016,70.0,poland,3.75,unknown,nicaragua
367,castronovo,"guaniamo, amazonas",1105,2013,70.0,u.s.a.,3.25,unknown,venezuela
660,franceschi,choroni,1355,2014,70.0,venezuela,3.5,unknown,venezuela
867,indaphoria,la red,821,2012,70.0,u.s.a.,3.25,unknown,dominican
1270,pascha,peru,1137,2013,55.0,peru,2.5,unknown,peru
